"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\AdditionalAttack\HumanArms\HumanArmsController.cs", "C#", 47, 9, 11, 67
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletBehaviour\Bullet.cs", "C#", 9, 0, 3, 12
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\2\Item2.cs", "C#", 125, 15, 14, 154
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\Default\BulletBehaviour_0.cs", "C#", 79, 7, 13, 99
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\Default\DefaultShoot.cs", "C#", 93, 6, 9, 108
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\ItemFactory.cs", "C#", 88, 8, 16, 112
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\ItemInWorld.cs", "C#", 99, 6, 10, 115
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Items.cs", "C#", 11, 0, 3, 14
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\BubbleJelly Soda.cs", "C#", 19, 0, 3, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\FourLeaf.cs", "C#", 19, 1, 2, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\HighVelocityBullets.cs", "C#", 19, 0, 3, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\Hyperplasia.cs", "C#", 20, 0, 3, 23
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\Momentum.cs", "C#", 21, 0, 2, 23
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\SlimeAcid.cs", "C#", 20, 0, 3, 23
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\SlimeSupercharge.cs", "C#", 19, 0, 3, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\BladeStorm\BladeStorm.cs", "C#", 86, 13, 8, 107
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\BladeStorm\BladeStormBullet.cs", "C#", 46, 1, 6, 53
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\DaYun\DaYun.cs", "C#", 83, 2, 7, 92
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\DaYun\DaYunAttack.cs", "C#", 36, 3, 3, 42
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Statues.cs", "C#", 147, 9, 11, 167
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Loading.cs", "C#", 33, 3, 9, 45
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\LogFilter.cs", "C#", 19, 2, 5, 26
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\MainMenuCanvas.cs", "C#", 83, 14, 14, 111
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ChunkGenerator.cs", "C#", 131, 3, 17, 151
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ObjectSpawner.cs", "C#", 257, 5, 29, 291
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\PlayerResource\ResourcePickUp.cs", "C#", 42, 1, 7, 50
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings.cs", "C#", 12, 0, 3, 15
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings\B0.cs", "C#", 170, 38, 27, 235
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings\B1.cs", "C#", 168, 22, 19, 209
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings\B1_Bullet.cs", "C#", 104, 38, 19, 161
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerBuildingManager.cs", "C#", 96, 17, 15, 128
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerController.cs", "C#", 158, 11, 13, 182
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerItemManager.cs", "C#", 129, 14, 15, 158
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PropertiesUpAnimation.cs", "C#", 15, 0, 2, 17
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\BuildingButton.cs", "C#", 87, 22, 16, 125
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Descriptions.cs", "C#", 57, 20, 7, 84
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\HealthBar.cs", "C#", 33, 2, 4, 39
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Incoming.cs", "C#", 12, 2, 5, 19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\LittleMap.cs", "C#", 17, 2, 4, 23
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Notices.cs", "C#", 14, 2, 4, 20
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\PlayerUI.cs", "C#", 261, 11, 45, 317
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\TimerTextUpdater.cs", "C#", 49, 5, 4, 58
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\UIProperties.cs", "C#", 123, 16, 23, 162
"Total", "-", 7057, 664, 976, 8697
