"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\ItemFactory.cs", "C#", 38, -1, 5, 42
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\ItemInWorld.cs", "C#", 90, 6, 14, 110
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\BubbleJelly Soda.cs", "C#", 18, 0, 3, 21
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\FourLeaf.cs", "C#", 18, 1, 2, 21
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\HighVelocityBullets.cs", "C#", 18, 0, 3, 21
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\Hyperplasia.cs", "C#", 19, 0, 3, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\Momentum.cs", "C#", 20, 0, 2, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\SlimeAcid.cs", "C#", 19, 0, 3, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Others\SlimeSupercharge.cs", "C#", 18, 0, 3, 21
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\BladeStorm\BladeStorm.cs", "C#", 60, 13, 11, 84
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Proactive\BladeStorm\BladeStormBullet.cs", "C#", 39, 1, 8, 48
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\Statues.cs", "C#", 18, 0, 2, 20
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Loading.cs", "C#", 33, 3, 9, 45
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\MainMenuCanvas.cs", "C#", 50, 2, 6, 58
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ChunkGenerator.cs", "C#", 3, 0, -1, 2
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ObjectSpawner.cs", "C#", 22, -4, 4, 22
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\PlayerResource\PinkResource.cs", "C#", 17, -2, -3, 12
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings.cs", "C#", 11, 0, 5, 16
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings\B1.cs", "C#", 113, 12, 13, 138
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\Buildings\B1_Bullet.cs", "C#", 104, 38, 19, 161
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerBuildingManager.cs", "C#", 95, 17, 15, 127
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerController.cs", "C#", 60, 4, 4, 68
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerItemManager.cs", "C#", 74, 5, 5, 84
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerObjectManager.cs", "C#", -12, -2, -5, -19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerUI.cs", "C#", -40, -1, -6, -47
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\BuildingButton.cs", "C#", 64, 9, 8, 81
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Descriptions.cs", "C#", 57, 20, 7, 84
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\HealthBar.cs", "C#", 33, 2, 4, 39
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Incoming.cs", "C#", 12, 2, 5, 19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\Notices.cs", "C#", 12, 2, 5, 19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\PlayerUI.cs", "C#", 206, 13, 22, 241
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\UI\TimerTextUpdater.cs", "C#", 29, 5, 5, 39
"Total", "-", 2326, 273, 336, 2935
